,Online boarding,Inflight entertainment,Type of Travel,Class
100540,5,4,Personal Travel,Eco
100541,3,2,Business travel,Eco
100542,4,4,Business travel,Eco
100543,1,1,Business travel,Business
100544,3,2,Business travel,Business
100545,2,4,Personal Travel,Eco
100546,4,3,Business travel,Business
100547,4,2,Personal Travel,Eco
100548,1,4,Business travel,Eco
100549,5,4,Business travel,Business
100550,3,4,Business travel,Business
100551,3,5,Business travel,Eco
100552,3,1,Personal Travel,Eco
100553,4,4,Business travel,Business
100554,1,3,Business travel,Business
100555,2,2,Business travel,Eco
100556,1,5,Personal Travel,Eco
100557,4,2,Business travel,Business
100558,5,5,Personal Travel,Business
100559,5,2,Business travel,Business
100560,5,3,Business travel,Business
100561,4,4,Business travel,Business
100562,1,2,Personal Travel,Eco
100563,2,1,Personal Travel,Eco
100564,3,5,Personal Travel,Eco
100565,3,3,Business travel,Business
100566,3,4,Business travel,Eco
100567,2,5,Business travel,Business
100568,2,2,Business travel,Business
100569,4,5,Business travel,Business
100570,1,2,Personal Travel,Eco
100571,4,4,Business travel,Business
100572,5,5,Business travel,Business
100573,4,3,Business travel,Business
100574,4,4,Business travel,Business
100575,2,4,Personal Travel,Eco
100576,4,4,Business travel,Eco
100577,5,5,Business travel,Eco
100578,3,3,Business travel,Business
100579,2,5,Personal Travel,Eco
100580,3,1,Business travel,Eco
100581,4,4,Business travel,Business
100582,4,4,Business travel,Business
100583,2,5,Business travel,Eco
100584,2,3,Business travel,Eco
100585,5,2,Business travel,Eco
100586,2,2,Personal Travel,Eco
100587,4,3,Business travel,Business
100588,5,1,Business travel,Eco
100589,4,4,Business travel,Business
100590,4,5,Business travel,Business
100591,2,2,Business travel,Business
100592,1,5,Business travel,Eco
100593,4,5,Business travel,Eco
100594,2,3,Business travel,Eco
100595,3,2,Business travel,Eco
100596,2,3,Personal Travel,Eco
100597,5,2,Business travel,Business
100598,3,3,Business travel,Eco
100599,4,5,Business travel,Business
100600,5,5,Business travel,Business
100601,2,4,Business travel,Eco
100602,3,5,Business travel,Eco
100603,3,2,Business travel,Eco
100604,4,4,Business travel,Eco
100605,4,1,Business travel,Eco
100606,5,4,Business travel,Business
100607,4,4,Business travel,Business
100608,3,4,Business travel,Business
100609,3,1,Personal Travel,Eco
100610,4,2,Business travel,Eco Plus
100611,2,3,Personal Travel,Eco Plus
100612,3,4,Personal Travel,Eco
100613,4,3,Business travel,Business
100614,4,2,Business travel,Eco
100615,3,5,Personal Travel,Business
100616,5,4,Business travel,Business
100617,5,3,Business travel,Business
100618,4,5,Business travel,Business
100619,3,5,Business travel,Business
100620,5,1,Personal Travel,Eco
100621,4,4,Business travel,Business
100622,5,5,Business travel,Business
100623,5,5,Business travel,Eco
100624,3,5,Personal Travel,Eco
100625,1,2,Business travel,Eco
100626,3,2,Personal Travel,Eco
100627,4,2,Business travel,Eco
100628,2,5,Personal Travel,Eco
100629,2,5,Personal Travel,Business
100630,4,2,Business travel,Business
100631,5,5,Business travel,Business
100632,4,1,Personal Travel,Eco Plus
100633,5,5,Business travel,Business
100634,4,4,Business travel,Eco
100635,3,5,Business travel,Business
100636,5,5,Business travel,Business
100637,3,4,Business travel,Business
100638,2,4,Business travel,Business
100639,4,5,Business travel,Business
100640,5,5,Business travel,Business
100641,2,1,Personal Travel,Eco
100642,2,4,Business travel,Eco
100643,3,1,Business travel,Business
100644,4,1,Personal Travel,Eco
100645,1,1,Business travel,Eco
100646,5,5,Business travel,Business
100647,2,3,Business travel,Business
100648,4,4,Business travel,Business
100649,3,4,Business travel,Eco
100650,4,2,Business travel,Business
100651,3,3,Business travel,Eco
100652,5,3,Business travel,Business
100653,3,2,Business travel,Business
100654,4,2,Personal Travel,Eco
100655,4,2,Personal Travel,Business
100656,5,5,Business travel,Business
100657,4,4,Business travel,Business
100658,2,3,Personal Travel,Eco
100659,4,5,Business travel,Business
100660,5,5,Business travel,Eco Plus
100661,4,4,Business travel,Business
100662,3,3,Business travel,Business
100663,5,3,Business travel,Business
100664,5,4,Business travel,Business
100665,4,5,Business travel,Business
100666,4,4,Business travel,Eco Plus
100667,3,2,Business travel,Eco
100668,3,3,Business travel,Eco
100669,4,4,Business travel,Eco
100670,3,4,Business travel,Business
100671,5,4,Business travel,Business
100672,2,5,Personal Travel,Eco
100673,5,4,Business travel,Eco
100674,3,5,Personal Travel,Eco
100675,3,4,Personal Travel,Eco
100676,5,2,Personal Travel,Business
100677,1,4,Business travel,Eco Plus
100678,3,5,Business travel,Eco
100679,3,5,Business travel,Business
100680,4,4,Business travel,Business
100681,2,3,Business travel,Business
100682,4,5,Business travel,Business
100683,3,5,Business travel,Business
100684,4,5,Business travel,Business
100685,3,5,Personal Travel,Eco Plus
100686,4,5,Business travel,Business
100687,3,5,Personal Travel,Eco
100688,4,3,Personal Travel,Eco
100689,4,5,Business travel,Business
100690,3,2,Business travel,Business
100691,5,4,Personal Travel,Eco
100692,4,4,Business travel,Business
100693,4,2,Business travel,Eco
100694,4,2,Business travel,Eco
100695,5,5,Business travel,Eco
100696,4,3,Personal Travel,Eco
100697,5,4,Business travel,Business
100698,2,2,Business travel,Business
100699,2,3,Business travel,Business
100700,3,2,Personal Travel,Eco
100701,4,5,Business travel,Business
100702,1,1,Personal Travel,Eco
100703,2,2,Business travel,Eco
100704,4,4,Personal Travel,Eco Plus
100705,1,1,Business travel,Business
100706,3,2,Business travel,Eco
100707,2,5,Personal Travel,Eco
100708,5,3,Business travel,Business
100709,2,4,Business travel,Business
100710,4,5,Business travel,Business
100711,1,1,Business travel,Eco
100712,3,1,Personal Travel,Eco
100713,3,4,Business travel,Eco
100714,4,1,Business travel,Business
100715,5,5,Business travel,Business
100716,3,5,Personal Travel,Eco Plus
100717,3,1,Business travel,Eco
100718,1,3,Personal Travel,Eco
100719,4,3,Personal Travel,Eco
100720,5,3,Business travel,Business
100721,3,3,Business travel,Business
100722,2,4,Business travel,Eco
100723,5,2,Personal Travel,Eco
100724,2,2,Business travel,Business
100725,5,3,Business travel,Eco
100726,5,3,Business travel,Eco
100727,2,4,Business travel,Eco
100728,5,4,Business travel,Business
100729,4,4,Business travel,Eco
100730,4,4,Business travel,Eco
100731,4,4,Business travel,Business
100732,2,2,Business travel,Business
100733,2,3,Personal Travel,Eco
100734,3,1,Business travel,Business
100735,4,2,Business travel,Business
100736,2,4,Business travel,Eco
100737,4,5,Personal Travel,Eco
100738,3,3,Business travel,Business
100739,2,4,Business travel,Eco
100740,2,4,Business travel,Business
100741,5,4,Business travel,Business
100742,4,3,Business travel,Eco
100743,4,5,Business travel,Business
100744,4,3,Business travel,Business
100745,1,5,Personal Travel,Eco
100746,4,4,Business travel,Eco
100747,3,1,Personal Travel,Eco
100748,3,3,Business travel,Eco Plus
100749,2,4,Business travel,Eco Plus
100750,4,5,Business travel,Business
100751,3,1,Business travel,Business
100752,2,2,Business travel,Eco Plus
100753,3,5,Personal Travel,Eco Plus
100754,3,2,Personal Travel,Eco Plus
100755,3,5,Personal Travel,Eco
100756,5,5,Business travel,Business
100757,3,4,Business travel,Business
100758,4,4,Business travel,Eco Plus
100759,5,4,Business travel,Eco
100760,3,5,Personal Travel,Eco
100761,4,4,Business travel,Business
100762,4,2,Business travel,Eco
100763,5,5,Business travel,Eco
100764,5,4,Business travel,Business
100765,5,5,Business travel,Business
100766,5,2,Business travel,Business
100767,4,2,Business travel,Business
100768,5,4,Business travel,Eco
100769,5,4,Business travel,Business
100770,4,4,Business travel,Business
100771,1,4,Personal Travel,Eco
100772,5,4,Personal Travel,Business
100773,4,5,Business travel,Business
100774,5,5,Business travel,Business
100775,4,5,Personal Travel,Eco
100776,5,5,Business travel,Business
100777,4,4,Business travel,Business
100778,4,3,Business travel,Business
100779,4,5,Business travel,Business
100780,2,1,Business travel,Business
100781,4,1,Business travel,Eco
100782,4,4,Business travel,Business
100783,4,5,Business travel,Business
100784,4,4,Business travel,Eco Plus
100785,2,1,Personal Travel,Eco
100786,3,3,Business travel,Eco Plus
100787,5,4,Business travel,Business
100788,1,1,Business travel,Eco Plus
100789,3,4,Business travel,Eco
100790,4,2,Business travel,Eco
100791,4,5,Business travel,Business
100792,1,1,Personal Travel,Eco
100793,5,5,Business travel,Business
100794,4,4,Business travel,Business
100795,2,4,Personal Travel,Eco Plus
100796,3,3,Business travel,Eco
100797,4,4,Business travel,Business
100798,1,1,Business travel,Eco Plus
100799,5,3,Business travel,Business
100800,5,4,Business travel,Business
100801,1,2,Business travel,Eco
100802,5,3,Business travel,Business
100803,2,2,Personal Travel,Eco
100804,4,4,Business travel,Business
100805,5,4,Business travel,Business
100806,3,3,Business travel,Business
100807,4,5,Personal Travel,Eco
100808,3,5,Business travel,Eco
100809,3,3,Business travel,Eco
100810,4,5,Business travel,Business
100811,2,5,Business travel,Business
100812,5,5,Business travel,Business
100813,4,4,Business travel,Eco
100814,4,5,Business travel,Business
100815,4,4,Business travel,Business
100816,4,4,Business travel,Business
100817,1,1,Business travel,Eco
100818,3,4,Business travel,Eco Plus
100819,4,4,Business travel,Business
100820,3,4,Business travel,Eco
100821,5,3,Business travel,Business
100822,4,3,Business travel,Eco
100823,4,3,Business travel,Business
100824,2,4,Business travel,Eco
100825,2,3,Personal Travel,Eco
100826,2,4,Personal Travel,Eco Plus
100827,3,3,Business travel,Business
100828,2,5,Personal Travel,Business
100829,2,2,Business travel,Eco
100830,3,5,Personal Travel,Eco
100831,1,3,Personal Travel,Eco
100832,5,5,Business travel,Eco
100833,1,3,Personal Travel,Eco
100834,3,2,Personal Travel,Eco Plus
100835,4,5,Business travel,Business
100836,5,5,Business travel,Business
100837,3,2,Business travel,Business
100838,1,3,Personal Travel,Eco
100839,2,2,Business travel,Eco
100840,4,4,Business travel,Business
100841,5,5,Business travel,Business
100842,4,3,Personal Travel,Eco
100843,5,2,Personal Travel,Eco
100844,5,5,Business travel,Business
100845,5,4,Business travel,Business
100846,3,2,Business travel,Eco Plus
100847,4,4,Business travel,Eco
100848,3,4,Personal Travel,Business
100849,3,5,Business travel,Business
100850,2,3,Business travel,Business
100851,2,4,Business travel,Business
100852,1,1,Personal Travel,Eco
100853,4,3,Business travel,Business
100854,3,1,Business travel,Business
100855,2,4,Personal Travel,Eco Plus
100856,3,4,Personal Travel,Eco
100857,4,4,Personal Travel,Eco
100858,2,2,Business travel,Business
100859,1,4,Business travel,Eco
100860,4,4,Business travel,Business
100861,4,5,Business travel,Business
100862,2,2,Business travel,Eco
100863,1,2,Business travel,Business
100864,3,3,Business travel,Business
100865,3,5,Business travel,Eco
100866,1,5,Business travel,Eco
100867,1,5,Business travel,Eco
100868,1,1,Business travel,Eco
100869,1,1,Business travel,Business
100870,2,3,Business travel,Eco
100871,2,3,Personal Travel,Eco Plus
100872,5,4,Business travel,Business
100873,3,3,Business travel,Eco
100874,4,4,Business travel,Eco
100875,2,3,Business travel,Eco
100876,5,2,Personal Travel,Business
100877,1,3,Personal Travel,Eco
100878,3,5,Business travel,Business
100879,4,4,Business travel,Business
100880,3,2,Business travel,Eco
100881,2,4,Personal Travel,Eco
100882,1,3,Personal Travel,Eco
100883,1,2,Personal Travel,Eco
100884,4,4,Business travel,Business
100885,1,3,Personal Travel,Eco
100886,4,2,Business travel,Eco Plus
100887,3,3,Personal Travel,Eco
100888,3,3,Business travel,Eco
100889,5,4,Business travel,Business
100890,3,3,Personal Travel,Eco
100891,4,4,Business travel,Eco
100892,1,1,Business travel,Eco
100893,3,2,Business travel,Business
100894,4,3,Personal Travel,Eco
100895,3,1,Business travel,Eco
100896,5,2,Personal Travel,Eco
100897,1,2,Business travel,Eco
100898,4,4,Personal Travel,Eco
100899,5,3,Business travel,Business
100900,3,3,Business travel,Business
100901,1,4,Personal Travel,Eco
100902,3,5,Business travel,Business
100903,4,2,Personal Travel,Eco
100904,3,1,Business travel,Business
100905,4,4,Business travel,Eco
100906,4,2,Business travel,Business
100907,2,5,Business travel,Eco
100908,4,3,Business travel,Eco
100909,3,5,Personal Travel,Eco
100910,3,2,Personal Travel,Eco
100911,3,3,Business travel,Eco
100912,5,4,Personal Travel,Eco
100913,3,5,Personal Travel,Eco
100914,3,3,Business travel,Eco
100915,4,4,Business travel,Eco
100916,5,5,Business travel,Business
100917,5,5,Business travel,Business
100918,1,5,Personal Travel,Eco Plus
100919,2,4,Personal Travel,Eco
100920,3,1,Personal Travel,Eco Plus
100921,3,5,Personal Travel,Eco
100922,2,2,Business travel,Business
100923,4,3,Personal Travel,Eco Plus
100924,3,4,Business travel,Eco
100925,1,4,Personal Travel,Business
100926,4,5,Business travel,Business
100927,4,5,Business travel,Eco Plus
100928,3,2,Business travel,Eco Plus
100929,4,1,Business travel,Business
100930,5,4,Business travel,Eco
100931,3,3,Business travel,Eco
100932,5,5,Business travel,Business
100933,4,5,Personal Travel,Eco
100934,3,3,Business travel,Business
100935,1,3,Business travel,Business
100936,4,4,Personal Travel,Eco
100937,3,1,Personal Travel,Eco Plus
100938,2,2,Business travel,Eco
100939,3,1,Business travel,Business
100940,4,3,Business travel,Business
100941,4,4,Business travel,Eco
100942,3,4,Business travel,Eco Plus
100943,4,2,Personal Travel,Eco
100944,3,5,Business travel,Business
100945,5,5,Business travel,Business
100946,2,2,Business travel,Eco
100947,2,3,Personal Travel,Eco Plus
100948,4,5,Business travel,Eco
100949,2,4,Business travel,Eco
100950,2,5,Personal Travel,Eco
100951,3,1,Personal Travel,Eco
100952,2,2,Business travel,Eco
100953,2,2,Business travel,Eco
100954,1,1,Business travel,Eco
100955,4,5,Business travel,Eco
100956,5,4,Business travel,Eco
100957,4,5,Business travel,Business
100958,3,4,Business travel,Business
100959,4,3,Business travel,Business
100960,2,2,Personal Travel,Eco
100961,1,3,Business travel,Eco
100962,2,4,Business travel,Business
100963,5,5,Business travel,Business
100964,1,4,Personal Travel,Eco
100965,3,1,Personal Travel,Eco Plus
100966,2,5,Business travel,Business
100967,1,2,Personal Travel,Eco
100968,4,5,Business travel,Business
100969,4,5,Business travel,Business
100970,3,2,Personal Travel,Eco
100971,2,3,Personal Travel,Eco
100972,2,3,Business travel,Eco
100973,3,5,Business travel,Eco
100974,4,2,Business travel,Business
100975,5,4,Business travel,Eco
100976,1,1,Personal Travel,Eco
100977,3,4,Business travel,Eco
100978,4,4,Business travel,Business
100979,2,3,Business travel,Business
100980,5,5,Business travel,Business
100981,4,4,Business travel,Business
100982,2,4,Personal Travel,Eco
100983,3,1,Personal Travel,Eco
100984,3,1,Business travel,Business
100985,3,4,Business travel,Eco
100986,1,4,Personal Travel,Eco
100987,4,3,Business travel,Eco
100988,5,5,Business travel,Business
100989,3,1,Business travel,Business
100990,4,1,Personal Travel,Eco
100991,2,1,Personal Travel,Eco
100992,1,5,Business travel,Eco
100993,4,5,Personal Travel,Eco Plus
100994,4,2,Business travel,Business
100995,2,1,Personal Travel,Eco
100996,4,4,Business travel,Business
100997,1,1,Business travel,Business
100998,2,1,Business travel,Business
100999,5,5,Business travel,Business
101000,2,2,Business travel,Business
101001,4,4,Business travel,Business
101002,4,5,Business travel,Business
101003,3,1,Business travel,Eco
101004,3,2,Personal Travel,Eco Plus
101005,5,4,Business travel,Business
101006,2,4,Business travel,Eco
101007,3,4,Personal Travel,Eco
101008,1,5,Personal Travel,Eco
101009,4,4,Business travel,Business
101010,4,3,Personal Travel,Eco Plus
101011,5,5,Business travel,Business
101012,3,3,Personal Travel,Eco
101013,4,4,Business travel,Business
101014,2,5,Personal Travel,Eco
101015,1,4,Personal Travel,Eco
101016,1,2,Business travel,Business
101017,4,1,Personal Travel,Eco
101018,5,4,Business travel,Business
101019,4,4,Business travel,Business
101020,3,2,Business travel,Business
101021,5,5,Business travel,Business
101022,1,2,Business travel,Eco
101023,5,5,Business travel,Business
101024,5,5,Business travel,Business
101025,2,2,Business travel,Eco Plus
101026,5,4,Business travel,Business
101027,4,4,Business travel,Business
101028,4,2,Business travel,Business
101029,4,2,Business travel,Business
101030,1,2,Business travel,Business
101031,4,4,Business travel,Business
101032,5,5,Business travel,Business
101033,4,4,Business travel,Eco
101034,4,4,Business travel,Business
101035,1,4,Business travel,Eco
101036,5,5,Business travel,Business
101037,1,4,Business travel,Business
101038,4,4,Business travel,Eco
101039,5,4,Business travel,Business
101040,4,5,Business travel,Business
101041,3,1,Personal Travel,Eco
101042,3,4,Business travel,Business
101043,1,4,Personal Travel,Eco
101044,3,3,Personal Travel,Eco
101045,3,1,Personal Travel,Eco
101046,1,2,Personal Travel,Eco
101047,1,1,Business travel,Eco
101048,5,4,Business travel,Business
101049,1,3,Personal Travel,Eco
101050,3,3,Business travel,Eco Plus
101051,3,3,Business travel,Business
101052,2,4,Personal Travel,Eco
101053,2,5,Personal Travel,Eco
101054,2,4,Business travel,Business
101055,5,5,Business travel,Business
101056,1,3,Personal Travel,Eco
101057,3,2,Personal Travel,Eco
101058,3,1,Personal Travel,Business
101059,4,4,Business travel,Eco Plus
101060,4,5,Business travel,Business
101061,3,2,Personal Travel,Eco
101062,4,1,Personal Travel,Eco
101063,3,5,Business travel,Business
101064,4,2,Business travel,Business
101065,5,5,Business travel,Business
101066,5,1,Personal Travel,Eco
101067,5,4,Business travel,Business
101068,5,4,Business travel,Business
101069,4,3,Business travel,Eco
101070,5,4,Business travel,Business
101071,1,5,Personal Travel,Eco
101072,3,5,Business travel,Business
101073,4,4,Business travel,Business
101074,2,2,Business travel,Eco
101075,4,2,Business travel,Business
101076,4,5,Business travel,Business
101077,5,5,Business travel,Business
101078,4,1,Business travel,Eco
101079,4,3,Business travel,Business
101080,4,3,Personal Travel,Eco
101081,3,3,Business travel,Eco
101082,4,3,Business travel,Business
101083,4,4,Personal Travel,Eco
101084,4,4,Business travel,Business
101085,5,3,Personal Travel,Business
101086,2,1,Personal Travel,Eco
101087,3,2,Business travel,Business
101088,2,1,Business travel,Eco
101089,1,2,Business travel,Business
101090,4,5,Business travel,Business
101091,3,2,Personal Travel,Eco
101092,2,4,Personal Travel,Eco
101093,3,5,Personal Travel,Eco
101094,5,5,Business travel,Business
101095,4,2,Personal Travel,Eco
101096,3,2,Business travel,Business
101097,2,4,Personal Travel,Eco
101098,5,3,Business travel,Eco
101099,2,4,Personal Travel,Eco
101100,2,2,Business travel,Business
101101,2,1,Personal Travel,Eco
101102,5,2,Personal Travel,Eco
101103,4,5,Business travel,Business
101104,3,4,Business travel,Eco
101105,5,5,Business travel,Business
101106,4,2,Business travel,Business
101107,5,4,Business travel,Business
101108,5,5,Business travel,Business
101109,1,5,Personal Travel,Eco
101110,1,1,Personal Travel,Eco
101111,3,1,Personal Travel,Eco
101112,3,2,Business travel,Business
101113,4,4,Business travel,Business
101114,3,4,Personal Travel,Eco
101115,3,2,Personal Travel,Eco
101116,3,1,Business travel,Eco
101117,4,5,Business travel,Business
101118,4,4,Business travel,Business
101119,4,4,Business travel,Business
101120,3,5,Business travel,Eco
101121,2,2,Personal Travel,Eco
101122,4,4,Business travel,Business
101123,2,2,Personal Travel,Eco
101124,4,2,Business travel,Business
101125,3,5,Business travel,Eco
101126,5,4,Business travel,Eco
101127,5,4,Business travel,Business
101128,4,5,Business travel,Business
101129,5,5,Business travel,Business
101130,2,4,Personal Travel,Eco
101131,5,5,Business travel,Eco Plus
101132,2,5,Business travel,Business
101133,2,1,Personal Travel,Eco
101134,3,2,Personal Travel,Eco
101135,5,5,Business travel,Eco
101136,4,2,Personal Travel,Eco
101137,4,4,Business travel,Business
101138,4,4,Business travel,Business
101139,5,5,Business travel,Business
101140,1,1,Business travel,Eco
101141,2,1,Personal Travel,Eco
101142,5,4,Personal Travel,Eco
101143,4,3,Personal Travel,Eco
101144,2,2,Business travel,Eco
101145,3,5,Business travel,Business
101146,5,5,Business travel,Eco
101147,4,1,Personal Travel,Eco
101148,2,3,Personal Travel,Eco
101149,4,3,Personal Travel,Eco
101150,5,4,Business travel,Business
101151,3,2,Business travel,Business
101152,5,4,Business travel,Business
101153,2,1,Personal Travel,Eco
101154,4,4,Personal Travel,Eco
101155,3,3,Business travel,Eco Plus
101156,3,2,Business travel,Eco
101157,2,5,Business travel,Eco
101158,4,4,Business travel,Business
101159,3,5,Personal Travel,Eco
101160,5,4,Business travel,Business
101161,4,4,Business travel,Business
101162,3,1,Business travel,Business
101163,4,5,Personal Travel,Eco
101164,5,4,Personal Travel,Eco
101165,4,3,Personal Travel,Eco
101166,2,3,Personal Travel,Eco
101167,5,4,Business travel,Business
101168,2,1,Business travel,Eco
101169,3,2,Business travel,Eco
101170,3,2,Personal Travel,Eco
101171,3,3,Personal Travel,Eco
101172,4,4,Business travel,Business
101173,3,5,Business travel,Business
101174,4,4,Business travel,Business
101175,4,5,Personal Travel,Eco
101176,4,3,Business travel,Business
101177,3,2,Business travel,Business
101178,4,4,Business travel,Eco
101179,3,1,Personal Travel,Eco Plus
101180,2,5,Business travel,Eco
101181,1,1,Business travel,Eco Plus
101182,2,4,Personal Travel,Eco
101183,3,5,Personal Travel,Eco Plus
101184,3,2,Personal Travel,Eco
101185,3,2,Business travel,Business
101186,5,5,Business travel,Eco Plus
101187,1,5,Personal Travel,Eco
101188,2,4,Personal Travel,Eco
101189,5,5,Business travel,Business
101190,4,3,Personal Travel,Eco
101191,4,4,Business travel,Business
101192,4,4,Business travel,Business
101193,3,2,Business travel,Business
101194,4,4,Business travel,Business
101195,3,4,Business travel,Eco
101196,3,1,Business travel,Eco
101197,4,5,Personal Travel,Eco
101198,4,4,Business travel,Business
101199,3,1,Personal Travel,Eco
101200,4,4,Business travel,Eco
101201,5,2,Business travel,Business
101202,5,5,Personal Travel,Eco
101203,5,4,Personal Travel,Eco Plus
101204,1,1,Personal Travel,Business
101205,4,4,Business travel,Business
101206,5,2,Personal Travel,Eco
101207,5,5,Business travel,Business
101208,2,2,Business travel,Eco
101209,4,3,Business travel,Eco
101210,2,5,Business travel,Eco
101211,2,3,Business travel,Business
101212,3,4,Business travel,Business
101213,5,1,Personal Travel,Eco
101214,4,4,Business travel,Eco Plus
101215,4,1,Personal Travel,Eco
101216,4,4,Business travel,Business
101217,2,3,Business travel,Business
101218,5,4,Business travel,Business
101219,4,4,Business travel,Business
101220,2,4,Business travel,Business
101221,2,2,Personal Travel,Eco
101222,1,4,Business travel,Business
101223,5,5,Business travel,Business
101224,1,4,Business travel,Business
101225,2,4,Business travel,Business
101226,4,1,Personal Travel,Eco
101227,5,5,Business travel,Business
101228,4,5,Personal Travel,Eco
101229,5,5,Business travel,Eco
101230,3,1,Personal Travel,Eco
101231,2,1,Business travel,Eco
101232,1,1,Business travel,Eco
101233,5,4,Business travel,Business
101234,3,1,Business travel,Business
101235,3,4,Business travel,Business
101236,5,5,Business travel,Business
101237,1,5,Personal Travel,Eco
101238,4,2,Personal Travel,Eco
101239,5,5,Business travel,Business
101240,4,5,Business travel,Business
101241,4,2,Personal Travel,Eco
101242,3,1,Personal Travel,Eco
101243,4,5,Business travel,Business
101244,4,5,Personal Travel,Eco
101245,4,5,Personal Travel,Eco
101246,2,2,Business travel,Business
101247,3,2,Business travel,Eco Plus
101248,4,4,Business travel,Business
101249,2,5,Personal Travel,Eco
101250,3,1,Personal Travel,Eco
101251,5,1,Personal Travel,Eco
101252,5,2,Personal Travel,Eco Plus
101253,1,2,Personal Travel,Eco
101254,4,4,Business travel,Eco
101255,5,3,Personal Travel,Eco
101256,1,2,Personal Travel,Eco
101257,3,3,Business travel,Business
101258,5,4,Business travel,Business
101259,4,4,Business travel,Business
101260,4,5,Personal Travel,Eco Plus
101261,4,4,Business travel,Business
101262,4,5,Business travel,Business
101263,2,4,Business travel,Eco
101264,3,3,Business travel,Business
101265,4,1,Business travel,Business
101266,3,3,Business travel,Business
101267,5,3,Business travel,Business
101268,4,4,Business travel,Business
101269,4,4,Personal Travel,Business
101270,4,4,Business travel,Eco
101271,5,4,Business travel,Business
101272,4,1,Personal Travel,Eco
101273,4,5,Business travel,Business
101274,3,5,Business travel,Eco
101275,4,5,Business travel,Eco
101276,5,5,Business travel,Business
101277,5,3,Business travel,Business
101278,4,3,Business travel,Business
101279,2,2,Business travel,Business
101280,4,4,Business travel,Business
101281,4,5,Business travel,Business
101282,5,5,Business travel,Business
101283,2,2,Personal Travel,Business
101284,4,5,Business travel,Business
101285,4,4,Business travel,Business
101286,5,4,Personal Travel,Eco
101287,5,5,Business travel,Business
101288,3,5,Personal Travel,Eco
101289,3,1,Business travel,Business
101290,2,2,Business travel,Eco
101291,4,3,Business travel,Business
101292,4,3,Business travel,Eco
101293,5,4,Business travel,Business
101294,2,5,Business travel,Eco
101295,5,2,Personal Travel,Eco
101296,4,4,Personal Travel,Eco Plus
101297,5,3,Personal Travel,Eco
101298,4,2,Personal Travel,Eco
101299,4,2,Business travel,Business
101300,5,5,Business travel,Business
101301,4,4,Business travel,Business
101302,2,3,Personal Travel,Eco Plus
101303,5,4,Business travel,Business
101304,4,3,Business travel,Business
101305,1,5,Business travel,Business
101306,4,4,Business travel,Eco
101307,4,2,Business travel,Business
101308,4,5,Business travel,Business
101309,4,4,Personal Travel,Eco
101310,2,1,Personal Travel,Eco
101311,3,5,Personal Travel,Eco
101312,4,1,Personal Travel,Eco
101313,4,4,Business travel,Business
101314,2,1,Personal Travel,Eco
101315,4,2,Business travel,Business
101316,3,3,Business travel,Eco
101317,3,3,Personal Travel,Eco
101318,5,5,Personal Travel,Eco
101319,3,5,Business travel,Eco
101320,4,4,Business travel,Business
101321,3,3,Business travel,Business
101322,2,4,Personal Travel,Eco
101323,4,2,Personal Travel,Eco
101324,4,5,Business travel,Eco
101325,1,5,Business travel,Eco
101326,3,2,Personal Travel,Eco Plus
101327,4,1,Personal Travel,Eco
101328,4,5,Personal Travel,Eco
101329,4,4,Business travel,Eco
101330,3,5,Business travel,Business
101331,3,3,Business travel,Eco
101332,5,3,Business travel,Business
101333,4,4,Business travel,Eco
101334,4,3,Personal Travel,Eco
101335,3,4,Personal Travel,Eco
101336,3,2,Personal Travel,Eco
101337,5,5,Business travel,Business
101338,4,5,Business travel,Business
101339,5,5,Business travel,Business
101340,4,4,Personal Travel,Eco
101341,2,4,Personal Travel,Eco
101342,3,1,Personal Travel,Eco
101343,4,3,Business travel,Business
101344,4,4,Business travel,Business
101345,5,4,Business travel,Business
101346,4,3,Business travel,Business
101347,5,4,Business travel,Business
101348,4,4,Business travel,Business
101349,1,1,Business travel,Business
101350,2,5,Personal Travel,Eco
101351,3,1,Business travel,Eco
101352,5,4,Business travel,Business
101353,5,5,Business travel,Eco Plus
101354,2,5,Business travel,Business
101355,5,4,Business travel,Business
101356,5,1,Business travel,Business
101357,3,1,Personal Travel,Eco
101358,4,5,Personal Travel,Eco
101359,5,5,Personal Travel,Eco
101360,4,4,Business travel,Business
101361,2,2,Business travel,Eco
101362,5,5,Business travel,Business
101363,5,5,Business travel,Eco
101364,4,3,Personal Travel,Eco
101365,4,4,Business travel,Business
101366,2,4,Business travel,Business
101367,1,4,Business travel,Eco
101368,5,4,Business travel,Business
101369,5,4,Business travel,Business
101370,3,1,Personal Travel,Eco
101371,1,1,Business travel,Eco
101372,4,3,Personal Travel,Eco
101373,5,4,Business travel,Business
101374,4,5,Business travel,Eco
101375,4,5,Business travel,Business
101376,4,3,Business travel,Business
101377,5,5,Business travel,Business
101378,3,4,Business travel,Eco
101379,3,3,Business travel,Business
101380,5,5,Business travel,Business
101381,5,1,Personal Travel,Business
101382,5,4,Business travel,Business
101383,2,2,Business travel,Eco
101384,3,4,Business travel,Business
101385,4,5,Business travel,Business
101386,4,5,Business travel,Business
101387,4,4,Business travel,Eco
101388,5,2,Business travel,Business
101389,1,4,Personal Travel,Eco
101390,3,5,Personal Travel,Eco
101391,4,5,Business travel,Business
101392,5,5,Business travel,Business
101393,3,3,Business travel,Eco
101394,3,2,Personal Travel,Eco Plus
